Row,username,Total,T1,T2,quote_farsi,quote_english,T3,T4,T5,T6,T7,T8,T9,T10,T11
85,AVAZADD,3,1,0,0,0,0,0,0,0,1,0,0,1,0
86,AZAD1760905,5,1,1,0,0,1,0,0,0,0,1,0,1,0
87,AZMOGHADAM,11,1,1,0,0,1,1,1,1,1,1,1,1,1
88,AZNOCHB,1,1,0,0,0,0,0,0,0,0,0,0,0,0
89,A_Bluewhitestar,6,1,1,0,0,1,0,0,0,1,1,0,1,0
90,A_S_E_F_W,4,1,1,0,0,0,0,0,0,0,0,0,1,1
91,A_ryamehr,6,1,1,0,0,1,1,0,0,1,0,1,0,0
92,AabaAama,1,0,1,0,0,0,0,0,0,0,0,0,0,0
93,Aapostrophe_Ss,8,1,1,0,0,1,0,0,1,0,1,1,1,1
94,Aashiane,7,1,0,0,0,0,1,0,1,1,1,0,1,1
95,Ababi65,2,1,1,0,0,0,0,0,0,0,0,0,0,0
96,Aban9814,2,1,0,0,0,0,0,0,0,0,1,0,0,0
97,Abanaestates,1,0,1,0,0,0,0,0,0,0,0,0,0,0
98,Abandohkt1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99,AbbasAminian,5,1,1,0,0,1,0,0,0,0,1,0,0,1
100,AbbasiNader,2,0,1,0,0,0,0,0,1,0,0,0,0,0
101,Abdollahyan,1,0,1,0,0,0,0,0,0,0,0,0,0,0
102,AbotalebiN42855,2,0,1,0,0,0,0,0,0,1,0,0,0,0
103,Abtinbm,2,1,1,0,0,0,0,0,0,0,0,0,0,0
104,Academic1234P,5,0,1,0,0,1,0,0,1,1,0,1,0,0
105,AcademyLemo,5,1,0,0,0,0,0,0,1,1,1,1,0,0
106,Ace__0f_spades,3,1,0,0,0,0,0,0,0,0,0,1,1,0
107,Acridotheres19,3,1,0,0,0,0,0,0,0,1,0,1,0,0
108,Action4IR,9,1,1,0,0,1,0,1,1,1,1,0,1,1
109,Ad78Fa,1,0,1,0,0,0,0,0,0,0,0,0,0,0
110,AdabRachel,1,0,1,0,0,0,0,0,0,0,0,0,0,0
111,AdamJ51248,2,0,1,0,0,0,0,0,0,0,0,0,0,1
112,Adam_Gold7171,6,0,1,0,0,0,0,0,1,1,1,1,0,1
113,Adamant1362,7,1,1,0,0,1,1,0,0,1,1,1,0,0
114,Adammatin3,3,1,0,0,0,0,0,0,1,0,0,0,1,0
115,AdinehShahram,1,0,1,0,0,0,0,0,0,0,0,0,0,0
116,AdlNavid,1,1,0,0,0,0,0,0,0,0,0,0,0,0
117,Adrian16235,8,0,1,0,0,1,0,1,1,1,1,1,0,1
118,Adrian75189654,2,1,1,0,0,0,0,0,0,0,0,0,0,0
119,Afarin59626656,6,1,1,0,0,1,1,0,0,0,0,1,1,0
120,AfidreamformAfi,2,0,1,0,0,1,0,0,0,0,0,0,0,0
121,AfreydoonF,1,1,0,0,0,0,0,0,0,0,0,0,0,0
122,Afsan147303671,3,0,1,0,0,1,0,0,0,1,0,0,0,0
