username,connected_via,account_based_in
Stephen67843639,Australia Android App,Australia
Mohamed96275443,Sweden Android App,Sweden
MakerWaddles,United States Android App,United States
mofa_2002,Iran Android App,Iran
it_sceptic,United States App Store,United States
jmalgas,South Africa App Store,South Africa
Sfaisalofficial,Pakistan Android App,Pakistan
OnlyRealJohanna,Web,Netherlands
MSMscarecrow,India Android App,India
ThinkInError,Europe App Store,Europe
JnrMarcopolo,United States App Store,Nigeria
PalstineMyHeart,United States App Store,United States
Jodhpuri_tweet,India Android App,India
choclateprinc,France Android App,Belgium
AlohaEvery1,Web,United States
shelostcontro1,United States Android App,United States
KrAtheistPerson,India Android App,India
LiiSparrow,United States App Store,Germany
AlhassnMer,Europe App Store,Europe
AnthonyBrink_SA,South Africa Android App,South Africa
piyasadefteri,Turkey Android App,Turkey
malikzeeshan896,Pakistan Android App,Pakistan
OTR444,United States App Store,United States
JianliSui,United States App Store,United States
ahmdy_sman68518,Web,United Kingdom
Grosty10,Germany Android App,Germany
MK0YE0,Yemen Android App,Yemen
Drnajam12,Pakistan Android App,Pakistan
zsyd1096,Yemen Android App,Yemen
Modiibbo_Ahmad,Nigeria Android App,Nigeria
ramprai,United Kingdom App Store,United Kingdom
bluecatag,United States App Store,United States
KavkazHussaini,Turkey Android App,Bulgaria
downright_b,Iran Android App,Iran
Iranian_sol,North America App Store,Europe
HEATHEN_STONER,Nigeria Android App,Nigeria
westasiapost,Europe App Store,North America
sahekiakira,Japan App Store,Japan
chickadeedee3,United States App Store,United States
modiboarmani,Tanzania App Store,Tanzania
Sk3Shakib,India Android App,India
NewsandViews11,United States App Store,Netherlands
kazablanka1225,Turkey Android App,Turkey
mishakerz,Europe App Store,Europe
TuffBlack,Kenya Android App,Kenya
zeeshanehussain,Pakistan Android App,Pakistan
vintszn_fl,Ghana App Store,Ghana
cpgs_org,Saudi Arabia App Store,Pakistan
langahwhotweets,Pakistan Android App,Pakistan
crimelab_inc,Web,United States
tptqzpqm,Saudi Arabia App Store,Saudi Arabia
Str_Raz,India Android App,India
Muhamme23889789,Turkey Android App,Turkey
mohadeseh_lotfi,Web,Netherlands
etbadabimbim,Europe Android App,Europe
eumateus75,Brazil Android App,Brazil
TehraniMohamma3,Iran Android App,Germany
CamiloGuezRodri,United States App Store,Spain
noah_adoka,Uganda Android App,Uganda
Ehsan3851,West Asia Android App,West Asia
Sa8910242m,Yemen Android App,Yemen
bernajurema,Germany App Store,Germany
RubenMex01,Mexico Android App,Mexico
melina_nilles,France Android App,France
NoburoNisamata,Japan Android App,Japan
ERamFarm,North America App Store,North America
PhilipBlackwoo1,Japan Android App,Japan
ChrIslamicGeo,Nigeria Android App,Nigeria
An0n187,Switzerland Android App,Switzerland
pious__athiest,North America App Store,West Asia
a_mccauley,United States App Store,United States
shkabd_001,Qatar Android App,Qatar
